Key,Value
001.edf,"[1, 0, 12, 2, 9]"
002.edf,[]
003.edf,[10]
004.edf,"[6, 15]"
005.edf,[]
006.edf,"[0, 9]"
007.edf,"[10, 14, 17, 16]"
008.edf,"[1, 0, 15]"
009.edf,"[0, 9]"
010.edf,"[0, 9]"
011.edf,"[2, 10, 4, 18]"
012.edf,"[12, 3, 4, 5]"
013.edf,[]
014.edf,"[0, 9, 15, 14]"
015.edf,"[0, 9]"
016.edf,"[1, 18, 2, 6, 8]"
017.edf,"[0, 5, 16]"
018.edf,"[2, 0, 17]"
019.edf,[0]
020.edf,"[12, 3, 17, 18]"
021.edf,[17]
022.edf,"[17, 13]"
023.edf,[0]
024.edf,"[12, 4, 13, 16]"
025.edf,[7]
027.edf,[0]
028.edf,[]
029.edf,"[18, 4, 13, 16]"
030.edf,"[16, 13, 11]"
031.edf,"[0, 6]"
032.edf,"[12, 0]"
033.edf,[]
034.edf,"[0, 9, 15]"
035.edf,"[12, 7, 16]"
036.edf,[13]
037.edf,"[6, 7]"
038.edf,[8]
039.edf,"[18, 16]"
040.edf,[6]
041.edf,[1]
042.edf,"[1, 12, 0, 3]"
043.edf,[]
044.edf,[2]
045.edf,"[6, 15]"
046.edf,"[0, 6, 15]"
047.edf,"[10, 14, 17]"
048.edf,[]
049.edf,[15]
050.edf,"[5, 10, 6, 15, 9]"
051.edf,[]
052.edf,"[1, 0, 9]"
053.edf,"[18, 17]"
054.edf,[15]
055.edf,"[18, 14, 15, 8, 17]"
056.edf,[]
057.edf,"[1, 6, 13]"
058.edf,[6]
059.edf,"[15, 17]"
060.edf,[1]
061.edf,"[15, 16]"
062.edf,"[10, 4, 13]"
063.edf,[]
065.edf,"[4, 0, 9]"
066.edf,"[0, 6, 9]"
067.edf,[9]
069.edf,"[0, 9]"
070.edf,[]
071.edf,[10]
072.edf,[]
073.edf,[6]
074.edf,[11]
075.edf,"[2, 0, 17, 18]"
076.edf,[8]
077.edf,"[0, 17]"
078.edf,"[2, 0, 17]"
079.edf,[17]
080.edf,"[0, 6, 17, 11]"
081.edf,"[0, 6, 9]"
082.edf,"[18, 6, 15, 11]"
083.edf,[3]
084.edf,"[10, 15, 11]"
085.edf,[1]
086.edf,"[10, 0, 11, 15, 13, 8, 17]"
087.edf,"[14, 9, 15, 5]"
088.edf,"[18, 11, 6, 15, 17]"
089.edf,[]
090.edf,"[0, 15]"
091.edf,[13]
092.edf,[]
093.edf,[9]
094.edf,"[1, 5]"
095.edf,[0]
1001.edf,"[0, 9, 11]"
1002.edf,"[18, 17]"
1003.edf,[0]
1004.edf,[11]
1005.edf,"[4, 13, 11]"
1006.edf,[18]
1007.edf,"[5, 11, 6, 8, 17]"
1008.edf,"[10, 0]"
1009.edf,"[10, 11]"
101.edf,"[0, 4, 13]"
1010.edf,[10]
1011.edf,"[0, 6]"
1012.edf,"[3, 14, 5, 11]"
1013.edf,"[12, 0]"
1014.edf,"[1, 5, 14, 15, 9]"
1015.edf,"[18, 4, 11]"
1016.edf,"[16, 11]"
1017.edf,"[0, 14, 6, 15, 16]"
1018.edf,"[0, 15, 11]"
1019.edf,[]
1020.edf,[]
1021.edf,[0]
1022.edf,[0]
1023.edf,"[0, 15]"
1024.edf,[0]
1025.edf,[15]
1027.edf,"[0, 6, 15, 14]"
1028.edf,[0]
1029.edf,[17]
103.edf,"[12, 0]"
1030.edf,"[8, 15]"
1032.edf,"[18, 3, 13]"
1033.edf,[]
1034.edf,[12]
1035.edf,[15]
1036.edf,"[1, 3]"
1037.edf,[0]
1038.edf,"[0, 15]"
1039.edf,"[5, 18, 11, 8, 17]"
104.edf,[]
1041.edf,[13]
1042.edf,[]
1043.edf,[]
1044.edf,"[3, 5, 0, 13, 4]"
1045.edf,"[18, 0, 7]"
1046.edf,"[18, 3, 8, 17]"
1047.edf,[0]
1048.edf,"[0, 9, 17]"
105.edf,[]
1050.edf,"[0, 9]"
1052.edf,[]
1053.edf,"[0, 9]"
1054.edf,"[0, 13]"
1055.edf,"[18, 11, 2, 13, 8, 17, 16]"
1056.edf,"[0, 13]"
1059.edf,[0]
