subject,length_remaining,original_length
204.edf,3.7333333333333334,4.283333333333333
368.edf,4.533333333333333,4.566666666666666
131.edf,3.7333333333333334,3.8333333333333335
152.edf,4.266666666666667,4.65
359.edf,4.8,4.833333333333333
296.edf,4.933333333333334,4.983333333333333
075.edf,5.2,5.233333333333333
118.edf,3.7333333333333334,3.8
215.edf,4.533333333333333,4.65
1179.edf,4.4,4.583333333333333
167.edf,4.933333333333334,5.0
303.edf,4.533333333333333,4.616666666666666
1154.edf,4.133333333333334,4.466666666666667
139.edf,2.8,5.25
214.edf,4.666666666666667,4.716666666666667
387.edf,4.266666666666667,4.35
005.edf,3.6,3.8333333333333335
045.edf,4.666666666666667,4.716666666666667
273.edf,4.266666666666667,4.516666666666667
1093.edf,4.8,5.0
1127.edf,4.533333333333333,4.766666666666667
7094.edf,4.4,4.533333333333333
124.edf,4.8,4.866666666666666
125.edf,2.2666666666666666,3.2
121.edf,4.8,4.9
123.edf,3.8666666666666667,4.0
024.edf,4.266666666666667,4.333333333333333
023.edf,2.8,3.4
205.edf,5.066666666666666,5.216666666666667
7003.edf,4.666666666666667,4.8
1018.edf,4.8,4.95
349.edf,3.6,4.666666666666667
345.edf,4.533333333333333,4.566666666666666
263.edf,5.066666666666666,5.183333333333334
043.edf,4.4,4.533333333333333
020.edf,4.8,4.916666666666667
088.edf,3.2,4.483333333333333
351.edf,4.933333333333334,5.0
1101.edf,4.8,4.85
086.edf,2.4,2.933333333333333
1034.edf,4.8,5.066666666666666
315.edf,6.4,6.666666666666667
1112.edf,5.333333333333333,5.366666666666666
090.edf,4.8,4.866666666666666
164.edf,3.2,3.35
233.edf,4.4,4.516666666666667
7009.edf,4.0,4.283333333333333
7088.edf,4.8,4.95
293.edf,5.333333333333333,5.366666666666666
060.edf,2.533333333333333,2.6333333333333333
1102.edf,1.6,2.6333333333333333
239.edf,4.933333333333334,5.233333333333333
327.edf,3.2,3.2333333333333334
372.edf,5.6,5.666666666666667
7017.edf,4.533333333333333,4.683333333333334
217.edf,4.8,4.85
1079.edf,1.8666666666666667,3.8833333333333333
398.edf,4.533333333333333,4.65
341.edf,4.4,4.716666666666667
202.edf,5.066666666666666,5.166666666666667
408.edf,3.3333333333333335,4.25
004.edf,4.8,4.9
210.edf,4.8,4.883333333333334
7087.edf,4.8,4.883333333333334
297.edf,5.066666666666666,5.116666666666666
1115.edf,4.533333333333333,4.566666666666666
7073.edf,4.266666666666667,4.9
392.edf,4.933333333333334,5.05
7082.edf,4.8,4.983333333333333
7072.edf,2.6666666666666665,4.383333333333334
1122.edf,4.666666666666667,4.816666666666666
7100.edf,4.8,4.9
103.edf,5.066666666666666,5.183333333333334
227.edf,4.8,4.9
136.edf,3.8666666666666667,4.733333333333333
291.edf,4.933333333333334,5.0
079.edf,3.7333333333333334,3.8666666666666667
250.edf,4.666666666666667,4.816666666666666
7061.edf,3.6,4.116666666666666
1129.edf,4.4,4.433333333333334
7109.edf,5.066666666666666,5.116666666666666
1106.edf,0.6666666666666666,1.8833333333333333
269.edf,3.7333333333333334,4.616666666666666
1041.edf,4.8,4.95
1180.edf,4.533333333333333,4.633333333333334
1047.edf,4.0,4.116666666666666
7012.edf,5.066666666666666,5.4
1024.edf,4.533333333333333,4.566666666666666
1132.edf,3.8666666666666667,3.933333333333333
406.edf,4.4,4.45
1025.edf,4.4,4.533333333333333
336.edf,3.3333333333333335,3.533333333333333
158.edf,4.666666666666667,4.75
266.edf,5.2,5.233333333333333
1007.edf,4.8,4.9
298.edf,4.8,4.9
1119.edf,4.4,5.1
207.edf,4.8,4.95
1181.edf,4.933333333333334,4.966666666666667
409.edf,4.933333333333334,5.033333333333333
009.edf,3.2,3.3
7101.edf,4.8,4.883333333333334
150.edf,4.133333333333334,4.216666666666667
1114.edf,1.4666666666666666,2.7
282.edf,4.8,4.933333333333334
147.edf,4.4,4.433333333333334
361.edf,4.8,4.95
1059.edf,5.6,5.633333333333334
077.edf,3.7333333333333334,3.783333333333333
161.edf,0.26666666666666666,5.116666666666666
1023.edf,4.533333333333333,4.566666666666666
401.edf,4.8,4.916666666666667
7107.edf,5.066666666666666,5.133333333333334
130.edf,4.0,4.883333333333334
1156.edf,4.933333333333334,4.966666666666667
203.edf,4.666666666666667,4.766666666666667
1090.edf,3.6,4.633333333333334
1108.edf,3.8666666666666667,4.7
1089.edf,1.8666666666666667,2.033333333333333
7066.edf,5.066666666666666,5.183333333333334
7121.edf,4.0,4.033333333333333
050.edf,3.6,3.9166666666666665
1185.edf,4.933333333333334,5.083333333333333
1027.edf,4.8,4.933333333333334
1142.edf,4.933333333333334,5.0
1165.edf,2.2666666666666666,4.016666666666667
137.edf,3.466666666666667,3.75
347.edf,5.066666666666666,5.2
350.edf,5.2,5.483333333333333
240.edf,4.266666666666667,4.383333333333334
305.edf,4.133333333333334,4.283333333333333
051.edf,3.6,4.25
1131.edf,4.933333333333334,5.033333333333333
149.edf,4.266666666666667,5.35
213.edf,4.533333333333333,4.683333333333334
7058.edf,4.133333333333334,4.583333333333333
7068.edf,5.2,5.683333333333334
1123.edf,5.066666666666666,5.166666666666667
048.edf,4.4,4.516666666666667
279.edf,4.933333333333334,5.016666666666667
092.edf,2.533333333333333,4.4
397.edf,4.133333333333334,4.616666666666666
7034.edf,5.066666666666666,6.266666666666667
1092.edf,4.666666666666667,4.75
7108.edf,4.933333333333334,5.016666666666667
1167.edf,4.666666666666667,4.716666666666667
414.edf,3.7333333333333334,3.8666666666666667
7110.edf,4.8,4.883333333333334
1010.edf,5.066666666666666,5.15
343.edf,5.2,5.266666666666667
1166.edf,5.733333333333333,5.783333333333333
076.edf,4.933333333333334,4.966666666666667
312.edf,4.133333333333334,4.166666666666667
1001.edf,3.8666666666666667,3.9166666666666665
1110.edf,2.1333333333333333,2.3666666666666667
379.edf,3.8666666666666667,4.35
1104.edf,4.8,4.883333333333334
116.edf,4.8,4.866666666666666
1003.edf,4.266666666666667,4.65
370.edf,4.666666666666667,4.766666666666667
082.edf,3.8666666666666667,4.983333333333333
1148.edf,4.933333333333334,5.016666666666667
322.edf,4.4,4.516666666666667
1130.edf,4.933333333333334,5.0
018.edf,4.0,4.15
104.edf,4.933333333333334,5.033333333333333
1084.edf,4.0,4.683333333333334
328.edf,5.333333333333333,5.366666666666666
7092.edf,5.333333333333333,5.4
310.edf,4.8,4.9
029.edf,4.133333333333334,4.166666666666667
1192.edf,4.666666666666667,4.75
277.edf,2.8,4.15
1080.edf,4.8,4.85
376.edf,5.066666666666666,5.116666666666666
355.edf,3.7333333333333334,3.8
1072.edf,4.266666666666667,4.416666666666667
1008.edf,4.8,5.066666666666666
1138.edf,3.066666666666667,4.066666666666666
346.edf,4.933333333333334,5.0
7084.edf,4.533333333333333,4.683333333333334
115.edf,4.933333333333334,5.05
7028.edf,3.8666666666666667,4.516666666666667
369.edf,4.133333333333334,4.266666666666667
1109.edf,4.4,5.116666666666666
270.edf,4.133333333333334,4.166666666666667
380.edf,2.2666666666666666,2.55
396.edf,3.3333333333333335,3.966666666666667
1086.edf,3.2,4.916666666666667
055.edf,4.533333333333333,4.8
1046.edf,4.933333333333334,4.983333333333333
395.edf,4.933333333333334,4.966666666666667
007.edf,4.933333333333334,5.05
7059.edf,4.8,4.916666666666667
7118.edf,3.2,3.3
1037.edf,4.933333333333334,5.016666666666667
1045.edf,2.1333333333333333,5.116666666666666
7039.edf,5.6,5.666666666666667
135.edf,4.133333333333334,4.266666666666667
1117.edf,4.266666666666667,4.333333333333333
081.edf,3.8666666666666667,3.9166666666666665
234.edf,3.8666666666666667,4.733333333333333
352.edf,2.933333333333333,4.3
1190.edf,4.933333333333334,5.05
375.edf,3.466666666666667,3.5
1189.edf,2.6666666666666665,2.716666666666667
272.edf,4.533333333333333,4.616666666666666
1126.edf,3.6,4.4
332.edf,4.933333333333334,5.033333333333333
393.edf,2.8,3.0833333333333335
067.edf,3.7333333333333334,3.7666666666666666
126.edf,4.266666666666667,4.566666666666666
7077.edf,2.6666666666666665,3.55
413.edf,4.933333333333334,5.016666666666667
