0,1,2,3,4,5,6,7,8,9
bp_delta_T3,bp_delta_O2,bp_delta_T4,bp_theta_Fp1,bp_theta_F3,bp_theta_P3,bp_theta_O1,bp_theta_F7,bp_theta_T3,gamma_coh_O1_C3
bp_delta_Fp1,bp_delta_F3,bp_delta_C3,bp_delta_P3,bp_delta_O1,bp_delta_F7,bp_delta_T3,bp_delta_T5,delta_coh_O2_T5,beta_coh_P4_C3
bp_delta_F3,bp_delta_O1,bp_delta_T3,bp_delta_T5,bp_delta_Fz,bp_delta_P4,bp_delta_O2,bp_delta_F8,beta_coh_P3_Fp1,beta_coh_Fz_P3
bp_delta_Fp1,bp_delta_F3,bp_delta_C3,bp_delta_P3,bp_delta_F7,bp_delta_T3,bp_delta_Fp2,bp_delta_O2,delta_coh_F8_C4,alpha_coh_F7_O1
bp_delta_Cz,bp_theta_O2,bp_alpha_Fp1,bp_alpha_Fp2,bp_alpha_T4,bp_alpha_T6,bp_alpha_Pz,bp_beta_O1,bp_beta_F7,theta_coh_F8_F3
bp_theta_Fp1,bp_theta_P3,bp_theta_O1,bp_theta_T5,bp_theta_Fz,bp_theta_F8,bp_beta_F3,delta_coh_P3_F3,alpha_coh_Pz_F8,skew_O2
bp_delta_F3,bp_delta_T3,bp_delta_O2,bp_theta_Fp1,bp_theta_F3,bp_theta_P3,bp_theta_O1,bp_theta_F7,bp_theta_T3,gamma_coh_Fz_O1
bp_delta_Fp1,bp_delta_F3,bp_delta_C3,bp_delta_P3,bp_delta_O1,bp_delta_F7,bp_delta_T3,bp_delta_T5,bp_delta_Fz,delta_coh_T4_O1
bp_theta_T3,bp_theta_Fp2,bp_theta_F4,bp_theta_C4,bp_alpha_F4,bp_gamma_Fp1,bp_gamma_F3,bp_gamma_P3,beta_coh_T4_T3,beta_coh_T4_F4
bp_delta_Fp1,bp_delta_F3,bp_delta_C3,bp_delta_T3,bp_delta_Fz,bp_delta_T6,bp_theta_Fp1,bp_theta_F3,bp_theta_C3,gamma_coh_Fz_O1
